Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 12.67      3.82     3.82   211933     0.00     0.00  GgafCore::GgafElement<GgafCore::GgafActor>::nextFrame()
  8.29      6.32     2.50   124592     0.00     0.00  GgafCore::GgafElement<GgafCore::GgafActor>::afterDraw()
  6.55      8.29     1.98 36102213     0.00     0.00  GgafDx9LibStg::CollisionChecker::isHit(GgafDx9Core::GgafDx9Checker*)
  5.67     10.01     1.71  9061274     0.00     0.00  GgafDx9Core::GgafDx9GeometricActor::processSettlementBehavior()
  5.44     11.64     1.64   209641     0.00     0.00  GgafCore::GgafElement<GgafCore::GgafActor>::judge()
  5.01     13.15     1.51   209638     0.00     0.00  GgafCore::GgafElement<GgafCore::GgafActor>::doFinally()
  4.08     14.38     1.23   209637     0.00     0.00  GgafCore::GgafElement<GgafCore::GgafActor>::settleBehavior()
  3.82     15.54     1.15  8907876     0.00     0.00  GgafDx9LibStg::CollisionChecker::updateHitArea()
  3.58     16.61     1.08   209641     0.00     0.00  GgafCore::GgafElement<GgafCore::GgafActor>::behave()
  2.99     17.52     0.90  1623602     0.00     0.00  GgafDx9Core::GgafDx9SphereRadiusVectors::getFaceAngClosely(unsigned int, unsigned int, unsigned int, int&, int&, int)
  2.59     18.30     0.78  2207904     0.00     0.00  GgafDx9LibStg::LinearOctreeForActor::executeHitChk_RoundRobin(GgafDx9LibStg::LinearOctreeForActor::CollisionStack*, GgafDx9LibStg::LinearOctreeForActor::CollisionStack*)
  2.46     19.04     0.74  3292690     0.00     0.00  GgafDx9Core::GgafDx9GeometricMover::behave()
  2.12     19.68     0.64 95190594     0.00     0.00  GgafDx9LibStg::LaserChip::executeHitChk_MeAnd(GgafCore::GgafActor*)
  2.06     20.30     0.62 36102213     0.00     0.00  GgafDx9Core::GgafDx9GeometricActor::processHitChkLogic(GgafCore::GgafActor*)
  1.79     20.84     0.54   124597     0.00     0.00  GgafCore::GgafElement<GgafCore::GgafActor>::preDraw()
  1.76     21.36     0.53 36139686     0.00     0.00  GgafCore::GgafActor::executeHitChk_MeAnd(GgafCore::GgafActor*)
  1.63     21.86     0.49  4042721     0.00     0.00  GgafCore::GgafLinearOctreeElem::extract()
  1.59     22.34     0.48    35570     0.00     0.00  GgafCore::GgafElement<GgafCore::GgafActor>::execDownFunction(void (*)(GgafCore::GgafObject*, void*, void*), void*, void*)
  1.53     22.80     0.46  7524264     0.00     0.00  GgafCore::GgafLinearOctree::getSpatialIndex(int, int, int, int, int, int)
