8

36 34 36

19 22 22 22 22 22 22 22 22 19 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 19 22 22 22 22 22 22 22 22 

0 14 16 16 1 17 15 1 1 1	0 14 17 48 1 1 15 19 1 1	0 14 18 48 0 0 0 0 0 0	0 14 19 48 0 0 0 0 0 0	0 14 20 16 0 0 0 0 0 0	0 15 16 24 1 17 1 1 1 19	0 15 20 18 1 1 1 16 1 19	0 16 16 24 0 0 0 0 0 0	0 16 20 18 0 0 0 0 0 0	0 17 16 24 0 0 0 0 0 0	24 17 17 20 1 1 1 3 1 1	24 17 18 20 0 0 0 0 0 0	24 17 19 20 0 0 0 0 0 0	0 17 20 18 0 0 0 0 0 0	0 18 16 16 0 0 0 0 0 0	0 18 17 16 1 1 1 19 1 16	0 18 18 16 0 0 0 0 0 0	0 18 19 16 0 0 0 0 0 0	0 18 20 16 0 0 0 0 0 0	
0 13 16 0 1 17 14 1 1 1	0 13 17 0 1 1 14 19 1 1	0 13 18 0 0 0 0 0 0 0	0 13 19 0 0 0 0 0 0 0	0 13 20 0 0 0 0 0 0 0	0 14 16 8 1 17 1 1 1 20	17 14 17 33 1 1 1 3 1 1	17 14 18 33 0 0 0 0 0 0	17 14 19 33 0 0 0 0 0 0	0 14 20 2 1 1 1 16 1 20	0 15 16 8 0 0 0 0 0 0	0 15 20 2 0 0 0 0 0 0	0 16 16 8 0 0 0 0 0 0	24 16 17 20 1 1 1 3 1 1	24 16 18 20 0 0 0 0 0 0	24 16 19 20 0 0 0 0 0 0	0 16 20 2 0 0 0 0 0 0	0 17 16 0 0 0 0 0 0 0	0 17 17 0 1 1 1 19 1 17	0 17 18 0 0 0 0 0 0 0	0 17 19 0 0 0 0 0 0 0	0 17 20 0 0 0 0 0 0 0	
0 12 16 0 1 17 13 1 1 1	0 12 17 0 1 1 13 19 1 1	0 12 18 0 0 0 0 0 0 0	0 12 19 0 0 0 0 0 0 0	0 12 20 0 0 0 0 0 0 0	0 13 16 8 1 17 1 1 1 21	17 13 17 33 1 1 1 3 1 1	17 13 18 33 0 0 0 0 0 0	17 13 19 33 0 0 0 0 0 0	0 13 20 2 1 1 1 16 1 21	0 14 16 8 0 0 0 0 0 0	0 14 20 2 0 0 0 0 0 0	0 15 16 8 0 0 0 0 0 0	24 15 17 20 1 1 1 3 1 1	24 15 18 20 0 0 0 0 0 0	24 15 19 20 0 0 0 0 0 0	0 15 20 2 0 0 0 0 0 0	0 16 16 0 0 0 0 0 0 0	0 16 17 0 1 1 1 19 1 18	0 16 18 0 0 0 0 0 0 0	0 16 19 0 0 0 0 0 0 0	0 16 20 0 0 0 0 0 0 0	
0 11 16 0 1 17 12 1 1 1	0 11 17 0 1 1 12 19 1 1	0 11 18 0 0 0 0 0 0 0	0 11 19 0 0 0 0 0 0 0	0 11 20 0 0 0 0 0 0 0	0 12 16 8 1 17 1 1 1 22	17 12 17 33 1 1 1 3 1 1	17 12 18 33 0 0 0 0 0 0	17 12 19 33 0 0 0 0 0 0	0 12 20 2 1 1 1 16 1 22	0 13 16 8 0 0 0 0 0 0	0 13 20 2 0 0 0 0 0 0	0 14 16 8 0 0 0 0 0 0	24 14 17 20 1 1 1 3 1 1	24 14 18 20 0 0 0 0 0 0	24 14 19 20 0 0 0 0 0 0	0 14 20 2 0 0 0 0 0 0	0 15 16 0 0 0 0 0 0 0	0 15 17 0 1 1 1 19 1 19	0 15 18 0 0 0 0 0 0 0	0 15 19 0 0 0 0 0 0 0	0 15 20 0 0 0 0 0 0 0	
0 10 16 0 1 17 11 1 1 1	0 10 17 0 1 1 11 19 1 1	0 10 18 0 0 0 0 0 0 0	0 10 19 0 0 0 0 0 0 0	0 10 20 0 0 0 0 0 0 0	0 11 16 8 1 17 1 1 1 23	17 11 17 33 1 1 1 3 1 1	17 11 18 33 0 0 0 0 0 0	17 11 19 33 0 0 0 0 0 0	0 11 20 2 1 1 1 16 1 23	0 12 16 8 0 0 0 0 0 0	0 12 20 2 0 0 0 0 0 0	0 13 16 8 0 0 0 0 0 0	24 13 17 20 1 1 1 3 1 1	24 13 18 20 0 0 0 0 0 0	24 13 19 20 0 0 0 0 0 0	0 13 20 2 0 0 0 0 0 0	0 14 16 0 0 0 0 0 0 0	0 14 17 0 1 1 1 19 1 20	0 14 18 0 0 0 0 0 0 0	0 14 19 0 0 0 0 0 0 0	0 14 20 0 0 0 0 0 0 0	
0 9 16 0 1 17 10 1 1 1	0 9 17 0 1 1 10 19 1 1	0 9 18 0 0 0 0 0 0 0	0 9 19 0 0 0 0 0 0 0	0 9 20 0 0 0 0 0 0 0	0 10 16 8 1 17 1 1 1 24	17 10 17 33 1 1 1 3 1 1	17 10 18 33 0 0 0 0 0 0	17 10 19 33 0 0 0 0 0 0	0 10 20 2 1 1 1 16 1 24	0 11 16 8 0 0 0 0 0 0	0 11 20 2 0 0 0 0 0 0	0 12 16 8 0 0 0 0 0 0	24 12 17 20 1 1 1 3 1 1	24 12 18 20 0 0 0 0 0 0	24 12 19 20 0 0 0 0 0 0	0 12 20 2 0 0 0 0 0 0	0 13 16 0 0 0 0 0 0 0	0 13 17 0 1 1 1 19 1 21	0 13 18 0 0 0 0 0 0 0	0 13 19 0 0 0 0 0 0 0	0 13 20 0 0 0 0 0 0 0	
0 8 16 0 1 17 9 1 1 1	0 8 17 0 1 1 9 19 1 1	0 8 18 0 0 0 0 0 0 0	0 8 19 0 0 0 0 0 0 0	0 8 20 0 0 0 0 0 0 0	0 9 16 8 1 17 1 1 1 25	17 9 17 33 1 1 1 3 1 1	17 9 18 33 0 0 0 0 0 0	17 9 19 33 0 0 0 0 0 0	0 9 20 2 1 1 1 16 1 25	0 10 16 8 0 0 0 0 0 0	0 10 20 2 0 0 0 0 0 0	0 11 16 8 0 0 0 0 0 0	24 11 17 20 1 1 1 3 1 1	24 11 18 20 0 0 0 0 0 0	24 11 19 20 0 0 0 0 0 0	0 11 20 2 0 0 0 0 0 0	0 12 16 0 0 0 0 0 0 0	0 12 17 0 1 1 1 19 1 22	0 12 18 0 0 0 0 0 0 0	0 12 19 0 0 0 0 0 0 0	0 12 20 0 0 0 0 0 0 0	
0 7 16 0 1 17 8 1 1 1	0 7 17 0 1 1 8 19 1 1	0 7 18 0 0 0 0 0 0 0	0 7 19 0 0 0 0 0 0 0	0 7 20 0 0 0 0 0 0 0	0 8 16 8 1 17 1 1 1 26	17 8 17 33 1 1 1 3 1 1	17 8 18 33 0 0 0 0 0 0	17 8 19 33 0 0 0 0 0 0	0 8 20 2 1 1 1 16 1 26	0 9 16 8 0 0 0 0 0 0	0 9 20 2 0 0 0 0 0 0	0 10 16 8 0 0 0 0 0 0	24 10 17 20 1 1 1 3 1 1	24 10 18 20 0 0 0 0 0 0	24 10 19 20 0 0 0 0 0 0	0 10 20 2 0 0 0 0 0 0	0 11 16 0 0 0 0 0 0 0	0 11 17 0 1 1 1 19 1 23	0 11 18 0 0 0 0 0 0 0	0 11 19 0 0 0 0 0 0 0	0 11 20 0 0 0 0 0 0 0	
0 6 16 0 1 17 7 1 1 1	0 6 17 1 1 1 7 19 1 1	0 6 18 1 0 0 0 0 0 0	0 6 19 1 0 0 0 0 0 0	0 6 20 0 0 0 0 0 0 0	0 7 16 8 1 17 1 1 1 27	17 7 17 33 1 1 1 3 1 1	17 7 18 33 0 0 0 0 0 0	17 7 19 33 0 0 0 0 0 0	0 7 20 2 1 1 1 16 1 27	0 8 16 8 0 0 0 0 0 0	0 8 20 2 0 0 0 0 0 0	0 9 16 8 0 0 0 0 0 0	24 9 17 20 1 1 1 3 1 1	24 9 18 20 0 0 0 0 0 0	24 9 19 20 0 0 0 0 0 0	0 9 20 2 0 0 0 0 0 0	0 10 16 0 0 0 0 0 0 0	0 10 17 0 1 1 1 19 1 24	0 10 18 0 0 0 0 0 0 0	0 10 19 0 0 0 0 0 0 0	0 10 20 0 0 0 0 0 0 0	
0 5 16 0 1 17 6 1 1 1	0 5 17 32 1 1 6 19 1 1	0 5 18 32 0 0 0 0 0 0	0 5 19 32 0 0 0 0 0 0	0 5 20 0 0 0 0 0 0 0	0 6 16 8 1 17 1 1 1 28	0 6 20 2 1 1 1 16 1 28	0 7 16 8 0 0 0 0 0 0	0 7 20 2 0 0 0 0 0 0	0 8 16 8 0 0 0 0 0 0	24 8 17 20 1 1 1 3 1 1	24 8 18 20 0 0 0 0 0 0	24 8 19 20 0 0 0 0 0 0	0 8 20 2 0 0 0 0 0 0	0 9 16 0 0 0 0 0 0 0	0 9 17 0 1 1 1 19 1 25	0 9 18 0 0 0 0 0 0 0	0 9 19 0 0 0 0 0 0 0	0 9 20 0 0 0 0 0 0 0	
0 4 16 0 1 17 5 1 1 1	0 4 17 0 1 1 5 19 1 1	0 4 18 0 0 0 0 0 0 0	0 4 19 0 0 0 0 0 0 0	0 4 20 0 0 0 0 0 0 0	0 5 16 8 1 17 1 1 1 29	17 5 17 33 1 1 1 3 1 1	17 5 18 33 0 0 0 0 0 0	17 5 19 33 0 0 0 0 0 0	0 5 20 2 1 1 1 16 1 29	0 6 16 8 0 0 0 0 0 0	0 6 20 2 0 0 0 0 0 0	0 7 16 8 0 0 0 0 0 0	24 7 17 20 1 1 1 3 1 1	24 7 18 20 0 0 0 0 0 0	24 7 19 20 0 0 0 0 0 0	0 7 20 2 0 0 0 0 0 0	0 8 16 0 0 0 0 0 0 0	0 8 17 0 1 1 1 19 1 26	0 8 18 0 0 0 0 0 0 0	0 8 19 0 0 0 0 0 0 0	0 8 20 0 0 0 0 0 0 0	
