8

17 34 36

16 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 

0 14 16 16 0 0 0 0 0 0	0 14 17 48 1 1 15 19 1 1	0 14 18 48 0 0 0 0 0 0	0 14 19 48 0 0 0 0 0 0	0 14 20 16 0 0 0 0 0 0	0 15 16 24 0 0 0 0 0 0	0 15 20 18 0 0 0 0 0 0	0 16 16 24 0 0 0 0 0 0	0 16 20 18 0 0 0 0 0 0	0 17 16 24 0 0 0 0 0 0	0 17 20 18 0 0 0 0 0 0	0 18 16 16 0 0 0 0 0 0	0 18 17 20 1 1 1 19 1 16	0 18 18 20 0 0 0 0 0 0	0 18 19 20 0 0 0 0 0 0	0 18 20 16 0 0 0 0 0 0	
0 14 16 8 1 17 15 1 2 1	17 14 17 33 1 1 1 3 1 1	17 14 18 33 0 0 0 0 0 0	17 14 19 33 0 0 0 0 0 0	0 14 20 2 1 1 15 16 1 1	0 15 16 8 1 17 1 1 2 19	0 15 20 2 1 1 1 16 2 19	0 16 16 8 0 0 0 0 0 0	0 16 20 2 0 0 0 0 0 0	0 17 16 8 0 0 0 0 0 0	24 17 17 20 1 1 1 3 1 1	24 17 18 20 0 0 0 0 0 0	24 17 19 20 0 0 0 0 0 0	0 17 20 2 0 0 0 0 0 0	
0 13 16 8 1 17 14 1 1 1	17 13 17 33 1 1 1 3 1 1	17 13 18 33 0 0 0 0 0 0	17 13 19 33 0 0 0 0 0 0	0 13 20 2 1 1 14 16 1 1	0 14 16 8 1 17 1 1 1 20	0 14 20 2 1 1 1 16 1 20	0 15 16 8 0 0 0 0 0 0	0 15 20 2 0 0 0 0 0 0	0 16 16 8 0 0 0 0 0 0	24 16 17 20 1 1 1 3 1 1	24 16 18 20 0 0 0 0 0 0	24 16 19 20 0 0 0 0 0 0	0 16 20 2 0 0 0 0 0 0	
0 12 16 8 1 17 13 1 1 1	17 12 17 33 1 1 1 3 1 1	17 12 18 33 0 0 0 0 0 0	17 12 19 33 0 0 0 0 0 0	0 12 20 2 1 1 13 16 1 1	0 13 16 8 1 17 1 1 1 21	0 13 20 2 1 1 1 16 1 21	0 14 16 8 0 0 0 0 0 0	0 14 20 2 0 0 0 0 0 0	0 15 16 8 0 0 0 0 0 0	24 15 17 20 1 1 1 3 1 1	24 15 18 20 0 0 0 0 0 0	24 15 19 20 0 0 0 0 0 0	0 15 20 2 0 0 0 0 0 0	
0 11 16 8 1 17 12 1 1 1	17 11 17 33 1 1 1 3 1 1	17 11 18 33 0 0 0 0 0 0	17 11 19 33 0 0 0 0 0 0	0 11 20 2 1 1 12 16 1 1	0 12 16 8 1 17 1 1 1 22	0 12 20 2 1 1 1 16 1 22	0 13 16 8 0 0 0 0 0 0	0 13 20 2 0 0 0 0 0 0	0 14 16 8 0 0 0 0 0 0	24 14 17 20 1 1 1 3 1 1	24 14 18 20 0 0 0 0 0 0	24 14 19 20 0 0 0 0 0 0	0 14 20 2 0 0 0 0 0 0	
0 10 16 32 1 17 11 1 1 1	0 10 17 32 1 1 11 19 1 1	0 10 18 32 0 0 0 0 0 0	0 10 19 32 0 0 0 0 0 0	65 11 16 9 1 1 1 1 1 3	72 11 19 18 1 1 1 1 1 3	65 12 16 9 0 0 0 0 0 0	72 12 19 18 0 0 0 0 0 0	65 13 16 9 0 0 0 0 0 0	72 13 19 18 0 0 0 0 0 0	0 14 16 4 1 17 1 1 1 20	0 14 17 4 1 1 1 19 1 20	0 14 18 4 0 0 0 0 0 0	0 14 19 4 0 0 0 0 0 0	
0 10 15 32 1 16 11 1 1 1	0 10 16 32 1 1 11 20 1 1	0 10 17 32 0 0 0 0 0 0	0 10 18 32 0 0 0 0 0 0	65 11 15 9 1 1 1 1 1 3	72 11 18 18 1 1 1 1 1 3	65 12 15 9 0 0 0 0 0 0	72 12 18 18 0 0 0 0 0 0	65 13 15 9 0 0 0 0 0 0	72 13 18 18 0 0 0 0 0 0	0 14 15 4 1 16 1 1 1 20	0 14 16 4 1 1 1 20 1 20	0 14 17 4 0 0 0 0 0 0	0 14 18 4 0 0 0 0 0 0	
0 10 14 32 1 15 11 1 1 1	0 10 15 32 1 1 11 21 1 1	0 10 16 32 0 0 0 0 0 0	0 10 17 32 0 0 0 0 0 0	65 11 14 9 1 1 1 1 1 3	72 11 17 18 1 1 1 1 1 3	65 12 14 9 0 0 0 0 0 0	72 12 17 18 0 0 0 0 0 0	65 13 14 9 0 0 0 0 0 0	72 13 17 18 0 0 0 0 0 0	0 14 14 4 1 15 1 1 1 20	0 14 15 4 1 1 1 21 1 20	0 14 16 4 0 0 0 0 0 0	0 14 17 4 0 0 0 0 0 0	
0 10 13 32 1 14 11 1 1 1	0 10 14 32 1 1 11 22 1 1	0 10 15 32 0 0 0 0 0 0	0 10 16 32 0 0 0 0 0 0	65 11 13 9 1 1 1 1 1 3	72 11 16 18 1 1 1 1 1 3	65 12 13 9 0 0 0 0 0 0	72 12 16 18 0 0 0 0 0 0	65 13 13 9 0 0 0 0 0 0	72 13 16 18 0 0 0 0 0 0	0 14 13 4 1 14 1 1 1 20	0 14 14 4 1 1 1 22 1 20	0 14 15 4 0 0 0 0 0 0	0 14 16 4 0 0 0 0 0 0	
0 11 12 8 1 13 12 1 1 1	20 11 13 48 1 1 1 3 1 1	20 11 14 48 0 0 0 0 0 0	20 11 15 48 0 0 0 0 0 0	0 11 16 2 1 1 12 20 1 1	0 12 12 8 1 13 1 1 1 22	0 12 16 2 1 1 1 20 1 22	0 13 12 8 0 0 0 0 0 0	0 13 16 2 0 0 0 0 0 0	0 14 12 8 0 0 0 0 0 0	18 14 13 5 1 1 1 3 1 1	18 14 14 5 0 0 0 0 0 0	18 14 15 5 0 0 0 0 0 0	0 14 16 2 0 0 0 0 0 0	
0 12 12 8 1 13 13 1 1 1	20 12 13 48 1 1 1 3 1 1	20 12 14 48 0 0 0 0 0 0	20 12 15 48 0 0 0 0 0 0	0 12 16 2 1 1 13 20 1 1	0 13 12 8 1 13 1 1 1 21	0 13 16 2 1 1 1 20 1 21	0 14 12 8 0 0 0 0 0 0	0 14 16 2 0 0 0 0 0 0	0 15 12 8 0 0 0 0 0 0	18 15 13 5 1 1 1 3 1 1	18 15 14 5 0 0 0 0 0 0	18 15 15 5 0 0 0 0 0 0	0 15 16 2 0 0 0 0 0 0	
