11119666 <DEBUG> GGAF_CONFIG(MAX_SKIP_FRAME)=60
11119666 <DEBUG> GGAFDX9_CONFIG(FULL_SCREEN)=0
11119667 <DEBUG> GGAFDX9_CONFIG(GAME_SCREEN_WIDTH)=800
11119667 <DEBUG> GGAFDX9_CONFIG(GAME_SCREEN_HEIGHT)=600
11119667 <DEBUG> GGAFDX9_CONFIG(VIEW_SCREEN_WIDTH)=800
11119668 <DEBUG> GGAFDX9_CONFIG(VIEW_SCREEN_HEIGHT)=600
11119668 <DEBUG> GGAFDX9_CONFIG(FIXED_VIEW_ASPECT)=1
11119668 <DEBUG> GGAFDX9_CONFIG(DIR_MESH_MODEL)=.\model\mesh\
11119669 <DEBUG> GGAFDX9_CONFIG(DIR_SPRITE_MODEL)=.\model\sprite\
11119669 <DEBUG> GGAFDX9_CONFIG(DIR_TEXTURE)=.\model\texture\
11119669 <DEBUG> GGAFDX9_CONFIG(DIR_EFFECT)=.\model\effect\
11119669 <DEBUG> GGAFDX9_CONFIG(DIR_OGG)=.\sound\bgm\
11119670 <DEBUG> GGAFDX9_CONFIG(DIR_WAVE)=.\sound\se\
11119670 <DEBUG> CONFIG(MY_KEY_SHOT1)=DIK_Z
11119670 <DEBUG> CONFIG(MY_KEY_SHOT2)=DIK_X
11119671 <DEBUG> CONFIG(MY_KEY_OPTION)=DIK_C
11119671 <DEBUG> CONFIG(MY_KEY_ZMOVE)=DIK_V
11119671 <DEBUG> CONFIG(MY_KEY_BUTTON5)=DIK_B
11119672 <DEBUG> CONFIG(MY_KEY_BUTTON6)=DIK_N
11119672 <DEBUG> CONFIG(MY_KEY_PAUSE)=DIK_ESCAPE
11119672 <DEBUG> CONFIG(MY_KEY_UP)=DIK_UP
11119673 <DEBUG> CONFIG(MY_KEY_DOWN)=DIK_DOWN
11119673 <DEBUG> CONFIG(MY_KEY_LEFT)=DIK_LEFT
11119673 <DEBUG> CONFIG(MY_KEY_RIGHT)=DIK_RIGHT
11119674 <DEBUG> CONFIG(MY_KEY_UI_UP)=DIK_UP
11119674 <DEBUG> CONFIG(MY_KEY_UI_DOWN)=DIK_DOWN
11119675 <DEBUG> CONFIG(MY_KEY_UI_LEFT)=DIK_LEFT
11119675 <DEBUG> CONFIG(MY_KEY_UI_RIGHT)=DIK_RIGHT
11119675 <DEBUG> CONFIG(MY_KEY_UI_EXECUTE)=DIK_RETURN
11119676 <DEBUG> CONFIG(MY_KEY_UI_CANCEL)=DIK_ESCAPE
11119677 <DEBUG> CONFIG(MY_KEY_UI_DEBUG)=DIK_D
11119677 <DEBUG> CONFIG(MY_JOY_SHOT1)=JOY_BUTTON_00
11119677 <DEBUG> CONFIG(MY_JOY_SHOT2)=JOY_BUTTON_01
11119678 <DEBUG> CONFIG(MY_JOY_OPTION)=JOY_BUTTON_07
11119678 <DEBUG> CONFIG(MY_JOY_ZMOVE)=JOY_BUTTON_05
11119678 <DEBUG> CONFIG(MY_JOY_BUTTON5)=JOY_BUTTON_08
11119679 <DEBUG> CONFIG(MY_JOY_BUTTON6)=JOY_BUTTON_08
11119679 <DEBUG> CONFIG(MY_JOY_PAUSE)=JOY_BUTTON_09
11119679 <DEBUG> CONFIG(MY_JOY_UI_EXECUTE)=JOY_BUTTON_00
11119680 <DEBUG> CONFIG(MY_JOY_UI_CANCEL)=JOY_BUTTON_01
11127877 <DEBUG> [detect memory leaks] start
11127934 <DEBUG> Look for 'NVIDIA PerfHUD' adapter...
11128110 <DEBUG> GgafDx9God::init デバイスは HAL(pure vp) で初期化できました。
11128111 <DEBUG> Hardware Vertex Shader Version = 3_0
11128111 <DEBUG> Hardware Pixel Shader Version  = 3_0
11128113 <DEBUG> ang=0	slant=0	vx,vy=1,0
11128114 <DEBUG> ang=1	slant=0.000174533	vx,vy=1,0.000174533
11128115 <DEBUG> ang=2	slant=0.000349066	vx,vy=1,0.000349066
11128115 <DEBUG> ang=3	slant=0.000523599	vx,vy=1,0.000523599
11128115 <DEBUG> ang=4	slant=0.000698132	vx,vy=1,0.000698132
11128116 <DEBUG> ang=5	slant=0.000872665	vx,vy=1,0.000872665
11128116 <DEBUG> ang=6	slant=0.0010472	vx,vy=0.999999,0.0010472
11128116 <DEBUG> ang=7	slant=0.00122173	vx,vy=0.999999,0.00122173
11128117 <DEBUG> ang=8	slant=0.00139626	vx,vy=0.999999,0.00139626
11128117 <DEBUG> ang=9	slant=0.0015708	vx,vy=0.999999,0.0015708
11128117 <DEBUG> ang=10	slant=0.00174533	vx,vy=0.999998,0.00174533
11128118 <DEBUG> ang=11	slant=0.00191986	vx,vy=0.999998,0.00191986
11128118 <DEBUG> ang=12	slant=0.0020944	vx,vy=0.999998,0.00209439
11128119 <DEBUG> ang=13	slant=0.00226893	vx,vy=0.999997,0.00226893
11128119 <DEBUG> ang=14	slant=0.00244347	vx,vy=0.999997,0.00244346
11128120 <DEBUG> ang=15	slant=0.002618	vx,vy=0.999997,0.00261799
11128120 <DEBUG> ang=16	slant=0.00279253	vx,vy=0.999996,0.00279252
11128120 <DEBUG> ang=17	slant=0.00296707	vx,vy=0.999996,0.00296706
11128121 <DEBUG> ang=18	slant=0.0031416	vx,vy=0.999995,0.00314159
11128121 <DEBUG> ang=19	slant=0.00331614	vx,vy=0.999995,0.00331612
11128121 <DEBUG> ang=20	slant=0.00349067	vx,vy=0.999994,0.00349065
11128122 <DEBUG> ang=21	slant=0.00366521	vx,vy=0.999993,0.00366518
11128122 <DEBUG> ang=22	slant=0.00383974	vx,vy=0.999993,0.00383971
11128122 <DEBUG> ang=23	slant=0.00401428	vx,vy=0.999992,0.00401425
11128123 <DEBUG> ang=24	slant=0.00418881	vx,vy=0.999991,0.00418878
11128123 <DEBUG> ang=25	slant=0.00436335	vx,vy=0.99999,0.00436331
11128123 <DEBUG> ang=26	slant=0.00453789	vx,vy=0.99999,0.00453784
11128124 <DEBUG> ang=27	slant=0.00471242	vx,vy=0.999989,0.00471237
11128124 <DEBUG> ang=28	slant=0.00488696	vx,vy=0.999988,0.0048869
11128124 <DEBUG> ang=29	slant=0.0050615	vx,vy=0.999987,0.00506143
11128125 <DEBUG> ang=30	slant=0.00523604	vx,vy=0.999986,0.00523596
11128125 <DEBUG> ang=31	slant=0.00541057	vx,vy=0.999985,0.00541049
11128125 <DEBUG> ang=32	slant=0.00558511	vx,vy=0.999984,0.00558502
11128126 <DEBUG> ang=33	slant=0.00575965	vx,vy=0.999983,0.00575955
11128126 <DEBUG> ang=34	slant=0.00593419	vx,vy=0.999982,0.00593408
11128127 <DEBUG> ang=35	slant=0.00610873	vx,vy=0.999981,0.00610861
11128127 <DEBUG> ang=36	slant=0.00628327	vx,vy=0.99998,0.00628314
11128127 <DEBUG> ang=37	slant=0.00645781	vx,vy=0.999979,0.00645767
11128128 <DEBUG> ang=38	slant=0.00663235	vx,vy=0.999978,0.0066322
11128128 <DEBUG> ang=39	slant=0.00680689	vx,vy=0.999977,0.00680673
11128128 <DEBUG> ang=40	slant=0.00698143	vx,vy=0.999976,0.00698126
11128129 <DEBUG> ang=41	slant=0.00715597	vx,vy=0.999974,0.00715579
11128129 <DEBUG> ang=42	slant=0.00733051	vx,vy=0.999973,0.00733032
11128129 <DEBUG> ang=43	slant=0.00750506	vx,vy=0.999972,0.00750485
11128130 <DEBUG> ang=44	slant=0.0076796	vx,vy=0.999971,0.00767937
11128130 <DEBUG> ang=45	slant=0.00785414	vx,vy=0.999969,0.0078539
11128131 <DEBUG> ang=46	slant=0.00802869	vx,vy=0.999968,0.00802843
11128131 <DEBUG> ang=47	slant=0.00820323	vx,vy=0.999966,0.00820296
11128132 <DEBUG> ang=48	slant=0.00837778	vx,vy=0.999965,0.00837748
11128132 <DEBUG> ang=49	slant=0.00855232	vx,vy=0.999963,0.00855201
11128132 <DEBUG> ang=50	slant=0.00872687	vx,vy=0.999962,0.00872654
11128133 <DEBUG> ang=51	slant=0.00890141	vx,vy=0.99996,0.00890106
11128133 <DEBUG> ang=52	slant=0.00907596	vx,vy=0.999959,0.00907559
11128133 <DEBUG> ang=53	slant=0.00925051	vx,vy=0.999957,0.00925011
11128134 <DEBUG> ang=54	slant=0.00942506	vx,vy=0.999956,0.00942464
11128134 <DEBUG> ang=55	slant=0.00959961	vx,vy=0.999954,0.00959916
11128135 <DEBUG> ang=56	slant=0.00977415	vx,vy=0.999952,0.00977369
11128135 <DEBUG> ang=57	slant=0.00994871	vx,vy=0.999951,0.00994821
11128135 <DEBUG> ang=58	slant=0.0101233	vx,vy=0.999949,0.0101227
11128135 <DEBUG> ang=59	slant=0.0102978	vx,vy=0.999947,0.0102973
11128136 <DEBUG> ang=60	slant=0.0104724	vx,vy=0.999945,0.0104718
11128136 <DEBUG> ang=61	slant=0.0106469	vx,vy=0.999943,0.0106463
11128136 <DEBUG> ang=62	slant=0.0108215	vx,vy=0.999941,0.0108208
11128137 <DEBUG> ang=63	slant=0.010996	vx,vy=0.99994,0.0109954
11128137 <DEBUG> ang=64	slant=0.0111706	vx,vy=0.999938,0.0111699
11128137 <DEBUG> ang=65	slant=0.0113451	vx,vy=0.999936,0.0113444
11128138 <DEBUG> ang=66	slant=0.0115197	vx,vy=0.999934,0.0115189
11128138 <DEBUG> ang=67	slant=0.0116942	vx,vy=0.999932,0.0116934
11128138 <DEBUG> ang=68	slant=0.0118688	vx,vy=0.99993,0.011868
11128139 <DEBUG> ang=69	slant=0.0120434	vx,vy=0.999927,0.0120425
11128139 <DEBUG> ang=70	slant=0.0122179	vx,vy=0.999925,0.012217
11128139 <DEBUG> ang=71	slant=0.0123925	vx,vy=0.999923,0.0123915
11128140 <DEBUG> ang=72	slant=0.012567	vx,vy=0.999921,0.012566
11128140 <DEBUG> ang=73	slant=0.0127416	vx,vy=0.999919,0.0127406
11128140 <DEBUG> ang=74	slant=0.0129162	vx,vy=0.999917,0.0129151
11128141 <DEBUG> ang=75	slant=0.0130907	vx,vy=0.999914,0.0130896
11128141 <DEBUG> ang=76	slant=0.0132653	vx,vy=0.999912,0.0132641
11128141 <DEBUG> ang=77	slant=0.0134398	vx,vy=0.99991,0.0134386
11128142 <DEBUG> ang=78	slant=0.0136144	vx,vy=0.999907,0.0136131
11128142 <DEBUG> ang=79	slant=0.013789	vx,vy=0.999905,0.0137877
11128142 <DEBUG> ang=80	slant=0.0139635	vx,vy=0.999903,0.0139622
11128143 <DEBUG> ang=81	slant=0.0141381	vx,vy=0.9999,0.0141367
11128143 <DEBUG> ang=82	slant=0.0143127	vx,vy=0.999898,0.0143112
11128143 <DEBUG> ang=83	slant=0.0144872	vx,vy=0.999895,0.0144857
11128144 <DEBUG> ang=84	slant=0.0146618	vx,vy=0.999893,0.0146602
11128144 <DEBUG> ang=85	slant=0.0148364	vx,vy=0.99989,0.0148348
11128144 <DEBUG> ang=86	slant=0.015011	vx,vy=0.999887,0.0150093
11128145 <DEBUG> ang=87	slant=0.0151855	vx,vy=0.999885,0.0151838
11128145 <DEBUG> ang=88	slant=0.0153601	vx,vy=0.999882,0.0153583
11128146 <DEBUG> ang=89	slant=0.0155347	vx,vy=0.999879,0.0155328
11128146 <DEBUG> ang=90	slant=0.0157093	vx,vy=0.999877,0.0157073
11128146 <DEBUG> ang=91	slant=0.0158838	vx,vy=0.999874,0.0158818
11128146 <DEBUG> ang=92	slant=0.0160584	vx,vy=0.999871,0.0160563
11128147 <DEBUG> ang=93	slant=0.016233	vx,vy=0.999868,0.0162308
11128147 <DEBUG> ang=94	slant=0.0164076	vx,vy=0.999865,0.0164054
11128148 <DEBUG> ang=95	slant=0.0165821	vx,vy=0.999863,0.0165799
11128148 <DEBUG> ang=96	slant=0.0167567	vx,vy=0.99986,0.0167544
11128148 <DEBUG> ang=97	slant=0.0169313	vx,vy=0.999857,0.0169289
11128149 <DEBUG> ang=98	slant=0.0171059	vx,vy=0.999854,0.0171034
11128149 <DEBUG> ang=99	slant=0.0172805	vx,vy=0.999851,0.0172779
11128150 <DEBUG> ang=100	slant=0.0174551	vx,vy=0.999848,0.0174524
11128150 <DEBUG> ang=101	slant=0.0176297	vx,vy=0.999845,0.0176269
11128150 <DEBUG> ang=102	slant=0.0178042	vx,vy=0.999842,0.0178014
11128151 <DEBUG> ang=103	slant=0.0179788	vx,vy=0.999838,0.0179759
11128151 <DEBUG> ang=104	slant=0.0181534	vx,vy=0.999835,0.0181504
11128151 <DEBUG> ang=105	slant=0.018328	vx,vy=0.999832,0.0183249
11128152 <DEBUG> ang=106	slant=0.0185026	vx,vy=0.999829,0.0184994
11128152 <DEBUG> ang=107	slant=0.0186772	vx,vy=0.999826,0.0186739
11128152 <DEBUG> ang=108	slant=0.0188518	vx,vy=0.999822,0.0188484
11128153 <DEBUG> ang=109	slant=0.0190264	vx,vy=0.999819,0.0190229
11128153 <DEBUG> ang=110	slant=0.019201	vx,vy=0.999816,0.0191974
11128153 <DEBUG> ang=111	slant=0.0193756	vx,vy=0.999812,0.0193719
11128154 <DEBUG> ang=112	slant=0.0195502	vx,vy=0.999809,0.0195464
11128154 <DEBUG> ang=113	slant=0.0197248	vx,vy=0.999806,0.0197209
11128155 <DEBUG> ang=114	slant=0.0198994	vx,vy=0.999802,0.0198954
11128155 <DEBUG> ang=115	slant=0.020074	vx,vy=0.999799,0.0200699
11128155 <DEBUG> ang=116	slant=0.0202486	vx,vy=0.999795,0.0202444
11128155 <DEBUG> ang=117	slant=0.0204232	vx,vy=0.999792,0.0204189
